rcdts,school_name,disciplinary_action_ratio_RAW_values,violent_incidents_ratio_RAW_values,disciplinary_action_ratio_TALLY_values,violent_incidents_ratio_TALLY_values
070161110022006,Maddock Elementary School,0.0,,100,
070161110022011,Harry E Fry School,0.0,,100,
07016113A021002,Old Quarry Middle Sch,0.03268765133171913,0.2222222222222222,95,96
07016113A022002,Oakwood School,0.0032258064516129032,0.5,100,90
07016113A022004,River Valley School,0.0051635111876075735,1.0,100,79
07016113A022005,Central School,0.016666666666666666,0.0,98,100
070161220022002,Ernest F Kolb Elem School,0.020761245674740483,0.8333333333333334,97,83
070161240021001,Central Middle School,0.1451048951048951,0.6265060240963856,78,87
070161250021001,Hamlin Upper Grade Center,0.005319148936170213,0.0,100,100
070161250022003,Lawn Manor School,0.0,,100,
070161250022004,Meadow Lane School,0.005747126436781609,1.0,100,79
070161270021005,Worth Jr High School,0.029940119760479042,1.2,96,75
070161270022001,Worth Elem School,0.015151515151515152,1.3333333333333333,98,72
070161275021001,Elden D Finley Jr High School,0.15789473684210525,0.5789473684210527,76,88
070161275022003,Ridge Central Elem School,0.0,,100,
070161275022004,Ridge Lawn Elementary School,0.0038684719535783366,0.0,100,100
070161300021003,Veterans Memorial Middle Sch,0.11011904761904762,0.9459459459459459,83,80
070161300022004,Nathan Hale Intermediate,0.192090395480226,1.2058823529411764,70,75
070161300022008,Paul Revere Intermediate Schoo,0.09743589743589744,0.8421052631578947,85,82
070161300022010,Whittier Elementary School,0.05405405405405406,0.875,92,82
070161300022011,Lincoln Elem School,0.025559105431309903,1.125,96,76
070161300022012,Nathan Hale Primary School,0.03081232492997199,0.09090909090909091,96,99
070161300022019,George Washington Elementary S,0.11004784688995216,0.0,83,100
070161330022001,Gen George Patton Elem School,0.06829268292682927,0.2857142857142857,90,94
070161420021001,Jack Hille Middle School,0.10714285714285714,0.0,84,100
070161440021002,Prairie-Hills Junior High Scho,0.058530510585305104,0.02127659574468085,91,100
070161440022010,Mae Jemison School,0.07236842105263158,0.0,89,100
070161440022011,Prairie-Hills STEAM Academy,0.0,,100,
070161470021001,Rosa L Parks Middle School,0.33986928104575165,0.6153846153846154,47,87
070161470022004,Lincoln Elem School,0.007407407407407408,2.0,99,57
070161470022007,Martin L King Elem School,0.04912280701754386,1.0714285714285714,93,77
070161520022002,Maya Angelou Elem Sch,0.034782608695652174,0.125,95,98
070161530022005,Willow School,0.005067567567567568,0.0,100,100
070161545022001,Burnham Elem School,0.09285714285714286,0.07692307692307693,86,99
070161550021001,Wentworth Jr High School,0.30491803278688523,0.967741935483871,53,80
070161550022004,Wentworth Intermediate School,0.06451612903225806,0.9,90,81
070161560022001,Lincoln Elem School,0.032670454545454544,1.0434782608695652,95,78
070161580021004,Memorial Jr High School,0.058823529411764705,0.10204081632653061,91,98
070161580022001,Coolidge Elementary School,0.0,,100,
070161580022005,Oak Glen Elem School,0.0,,100,
070161580022006,Reavis Elem School,0.0,,100,
070161580023001,Lester Crawl Primary Ctr,0.0,,100,
070161590021001,Colin Powell Middle Sch,0.2074468085106383,1.0,68,79
070161590022002,Sieden Prairie Elementary Scho,0.06074766355140187,0.5384615384615384,91,89
070161590022004,Neil Armstrong Elem School,0.02120141342756184,1.1666666666666667,97,75
070161590022005,Woodgate Elem School,0.022222222222222223,0.14285714285714285,97,97
070161590022006,Marya Yates Elementary School,0.028225806451612902,0.7142857142857143,96,85
070161630021010,Michelle Obama Sch of Technolo,0.0,,100,
070161630022002,Barack Obama Sch of Leadership,0.0,,100,
070161700021002,Chicago Heights Middle School,0.33530106257378983,0.0,48,100
070161700022008,U S Grant Elem School,0.0070921985815602835,0.0,99,100
070161700022013,Lincoln Elem School,0.12195121951219512,1.3,81,73
070161710021001,Heritage Middle School,0.11546840958605664,1.0188679245283019,82,79
070161710022001,Nathan Hale Elem School,0.01593625498007968,0.0,98,100
070161940022002,Steger Intermediate Center,0.0875,0.16666666666666666,87,97
070161940022005,Steger Primary Center,0.025069637883008356,0.0,97,100
070162060170001,Bloom High School,0.1035653650254669,0.7049180327868853,84,85
070162060170002,Bloom Trail High School,0.2204724409448819,0.08214285714285714,66,99
070162100170001,Lemont Twp High School,0.02843966179861645,0.24324324324324326,96,95
070162280160001,Bremen High School,0.05977496483825598,0.6941176470588235,91,86
070162280160003,Hillcrest High School,0.07621671258034894,0.8192771084337349,89,83
070162280160004,Oak Forest High School,0.04305864884929473,0.3793103448275862,94,92
070162290160001,Oak Lawn Comm High School,0.07087053571428571,0.5039370078740157,89,90
080083990260002,Chadwick-Milledgeville Jr/Sr H,0.022099447513812154,0.25,97,95
080432050260001,Warren Jr/Sr High School,0.07142857142857142,0.0,89,100
080432050262002,Warren Elementary School,0.010526315789473684,0.0,99,100
080432060260003,Stockton Sr High School,0.22289156626506024,0.08108108108108109,66,99
080432060261001,Stockton Middle School,0.1721311475409836,0.14285714285714285,74,97
080432060262002,Stockton Elem School,0.04035874439461883,0.6666666666666666,94,86
080432100260002,River Ridge High School,0.0,,100,
080432100261001,River Ridge Middle School,0.01098901098901099,1.0,99,79
080432100262003,River Ridge Elementary School,0.0044444444444444444,1.0,100,79
080892020260001,Lena-Winslow High School,0.0,,100,
080892020261002,Lena-Winslow Jr High School,0.0,,100,
080892020262003,Lena-Winslow Elem School,0.0,,100,
090100070260007,Unity High School,0.003898635477582846,0.0,100,100
090100080260001,Heritage High School,0.075,0.5555555555555556,89,89
090100080262001,Heritage Jr High and Elementar,0.0423728813559322,0.0,94,100
090101690042001,St Joseph Elem School,0.0,,100,
090101930170001,Rantoul Twp High School,0.2067714631197098,0.8245614035087719,68,83
110213050262004,Lovington Grade School,0.06896551724137931,1.9,90,60
110230060260001,Chrisman High School,0.08333333333333333,0.7142857142857143,87,85
130410030042001,Field Elementary School,0.014336917562724014,0.0,98,100
130410790022001,Summersville Grade School,0.05017921146953405,0.2857142857142857,93,94
130581330022001,Central City Elem School,0.013559322033898305,1.0,98,79
130950100260001,Okawville Jr/Sr High School,0.004366812227074236,2.0,100,57
130950100262003,Okawville Grade School,0.007142857142857143,0.0,99,100
130950490042002,Nashville Grade School,0.013559322033898305,0.25,98,95
15016903025201C,Bronzeville Academy Charter Sc,0.12349397590361445,0.8536585365853658,81,82
150162990252396,Pasteur Elem School,0.0,,100,
150162990252767,Ward  L Elem School,0.03875968992248062,1.0,94,79
150162990252870,Brighton Park Elem School,0.0,,100,
170200180260001,Blue Ridge High School,0.043478260869565216,0.25,94,95
150162990252945,Frazier Perspectives Magnet ES,0.19548872180451127,1.2692307692307692,70,73
15016901025201C,Horizon Science Acad-Belmont C,0.10283159463487332,1.0144927536231885,84,79
160194320260003,Somonauk High School,0.026905829596412557,0.8333333333333334,96,83
160194320261001,Somonauk Middle School,0.07983193277310924,0.3684210526315789,88,93
170200150260001,Clinton High School,0.04,0.3684210526315789,94,93
170530080262005,Prairie Central Elem School,0.01928374655647383,0.8571428571428571,97,82
170530080262006,Prairie Central Primary East,0.022900763358778626,2.3333333333333335,97,50
170540270022007,Washington-Monroe Elem School,0.06666666666666667,0.0,90,100
190220020021001,Blackhawk Middle School,0.07866868381240545,0.4423076923076923,88,91
190220020022005,W A Johnson Sch,0.022435897435897436,0.2857142857142857,97,94
190220020022006,Tioga Elementary School,0.008141112618724558,1.0,99,79
190220070021004,Wood Dale Jr High School,0.06593406593406594,0.8888888888888888,90,81
190220070022002,Oakbrook Elem School,0.016129032258064516,1.0,98,79
190220070022003,Westview Elem School,0.014285714285714285,0.75,98,84
190220070023001,Early Childhood Education Cent,0.0,,100,
190220120021005,Roselle Middle School,0.018518518518518517,1.0,98,79
190220120022004,Spring Hills Elem School,0.006535947712418301,0.0,99,100
190220130022004,Erickson Elementary School,0.0,,100,
190220150022004,Winnebago Elem School,0.028708133971291867,0.9166666666666666,96,81
190220440022012,Pleasant Lane Elem School,0.0,,100,
190220660022004,Prairieview Elementary School,0.0,,100,
190222040260005,Metea Valley High School,0.051092318534179,0.593103448275862,93,88
190222050260003,York Comm High School,0.03208758021895055,0.3176470588235294,95,94
190222050262004,Emerson Elem School,0.007009345794392523,1.3333333333333333,99,72
200830010261001,Galatia Jr High,0.08974358974358974,0.14285714285714285,86,97
200830040261002,Eldorado Middle School,0.14453125,0.5945945945945946,78,88
200960140042001,Geff Elem School,0.06451612903225806,0.0,90,100
200970050260001,Carmi-White County High School,0.296875,0.4473684210526316,54,91
200970050261007,Carmi White Cnty Jr High Sch,0.21739130434782608,1.0444444444444445,66,78
200970050262007,Washington Attendance Center,0.015873015873015872,1.0,98,79
210281150042001,Ewing-Northern Elem School,0.012875536480686695,1.3333333333333333,98,72
210281680261002,Central Jr High School,0.6388888888888888,0.6231884057971014,0,87
210440550020000,,0.007712082262210797,0.3333333333333333,99,93
210441330170001,Vienna High School,0.03932584269662921,0.07142857142857142,94,99
211000030260001,Crab Orchard High School,0.2116788321167883,0.034482758620689655,67,100
211000030262001,Crab Orchard Elementary School,0.0935672514619883,0.03125,86,100
211000040260001,Herrin High School,0.334375,0.17289719626168223,48,97
211000050260001,Carterville High School,0.06677265500794913,0.07142857142857142,90,99
211000050262006,Carterville Intermediate Sch,0.06796116504854369,0.8285714285714286,90,83
260290660251002,Ingersoll Middle School,0.1264559068219634,1.3421052631578947,81,72
260290660252003,Westview Elementary School,0.05263157894736842,1.3157894736842106,92,72
260290660252008,Lincoln Elementary School,0.039301310043668124,0.5555555555555556,94,89
260343280242004,Hamilton Elementary School,0.0275,0.7272727272727273,96,85
280063400260001,Bureau Valley High School,0.040955631399317405,0.0,94,100
280065020170001,Hall High School,0.04668304668304668,0.47368421052631576,93,90
280371900022001,Colona Grade School,0.06133333333333333,0.0,91,100
280372230260001,Orion High School,0.05244755244755245,0.4666666666666667,92,90
300391300042001,Giant City Elem School,0.0211864406779661,0.4,97,92
300731010160001,Pinckneyville Comm High School,0.07920792079207921,0.0,88,100
300910170220001,Cobden High School,0.0,,100,
300910840260001,Shawnee High School,0.18309859154929578,0.07692307692307693,72,99
300910840262005,Shawnee Elementary School,0.18045112781954886,0.8333333333333334,72,83
310450460220002,Larkin High School,0.2597590361445783,0.31539888682745826,60,94
310450460221004,Eastview Middle School,0.09915014164305949,0.42857142857142855,85,91
310450460221007,Larsen Middle School,0.14231499051233396,0.49333333333333335,78,90
310450460221008,Tefft Middle School,0.19186046511627908,0.6787878787878788,70,86
310450460221009,Kenyon Woods Middle School,0.11882510013351134,1.0337078651685394,82,78
310450460221045,Canton Middle School,0.17054263565891473,0.36363636363636365,74,93
310450460222008,Timber Trails Elementary Schoo,0.015789473684210527,0.5,98,90
310450460222010,Century Oaks Elem School,0.030805687203791468,0.6153846153846154,96,87
